Gen,ID,Fitness
1,ID01,0.2423403503
1,ID01,0.6303876833
1,ID01,0.3410711477
1,ID01,0.1871583283
1,ID01,0.3620618774
1,ID01,0.2699296335
1,ID01,0.6326101442
1,ID01,0.3381238971
1,ID01,0.2598392251
1,ID01,0.5722076079
1,ID01,0.1476110527
1,ID01,0.2367669209
1,ID01,0.1897016753
1,ID01,0.4710412705
1,ID01,0.2358525257
1,ID01,0.0591847855
1,ID01,0.2011900729
1,ID01,0.3983641623
1,ID01,0.3386141184
1,ID01,0.1981199845
1,ID01,0.2625001849
1,ID01,0.4226174209
1,ID01,0.2304410616
1,ID01,0.4837558502
1,ID01,0.3284737978
1,ID01,0.5758974548
1,ID01,0.4935636143
1,ID01,0.2917492723
1,ID01,0.2119497109
1,ID01,0.2614899265
1,ID01,0.3065868582
1,ID01,0.0937664027
1,ID01,0.2372114763
1,ID01,0.3987545414
1,ID01,0.3599026147
1,ID01,0.2848697365
1,ID01,0.2755734291
1,ID01,0.1330289658
1,ID01,0.2419013374
1,ID01,0.210716045
1,ID01,0.2606937925
1,ID01,0.5391815024
1,ID01,0.2460005611
1,ID01,0.355860947
1,ID01,0.2410339259
1,ID01,0.3902501938
1,ID01,0.3121754039
1,ID01,0.324239313
1,ID01,0.1724570932
1,ID01,0.374415284
1,ID01,0.3234933664
1,ID01,0.3992401466
1,ID01,0.4596286847
1,ID01,0.2938981003
1,ID01,0.2689583687
1,ID01,0.2817455123
1,ID01,0.5192833979
1,ID01,0.255907742
1,ID01,0.3793227461
1,ID01,0.5386296796
1,ID01,0.174348653
1,ID01,0.4144292498
1,ID01,0.2088721268
1,ID01,0.6172326697
1,ID01,0.500082755
1,ID01,0.3023597915
1,ID01,0.257302001
1,ID01,0.2271494622
1,ID01,0.2715991692
1,ID01,0.1581050205
1,ID01,0.5454538352
1,ID01,0.0688072377
1,ID01,0.1884441084
1,ID01,0.6017868846
1,ID01,0.6480958673
1,ID01,0.2129117619
1,ID01,0.209511566
1,ID01,0.3272223756
1,ID01,0.2681952277
1,ID01,0.3579661395
1,ID01,0.3854435277
1,ID01,0.2148005927
1,ID01,0.2881281021
1,ID01,0.2664993648
1,ID01,0.1888457566
1,ID01,0.1032727506
1,ID01,0.3242158772
1,ID01,0.2416210341
1,ID01,0.2351650389
1,ID01,0.2788391497
1,ID01,0.2533737838
1,ID01,0.5469152468
1,ID01,0.2920095449
1,ID01,0.4521921674
1,ID01,0.2125964709
1,ID01,0.161425918
1,ID02,0.8235380171
1,ID02,1.2424608179
1,ID02,0.8397513012
1,ID02,0.852526038
1,ID02,1.3885657448
1,ID02,1.0132543797
1,ID02,0.8651409363
1,ID02,1.246310741
1,ID02,0.9012035168
1,ID02,0.8068899147
1,ID02,1.0216400355
1,ID02,0.9186740479
1,ID02,0.8143804829
1,ID02,0.8075410078
1,ID02,0.936988394
1,ID02,0.9448474596
1,ID02,0.8805118217
1,ID02,0.9366184902
1,ID02,1.3619071017
1,ID02,0.8190402263
1,ID02,0.8206833528
1,ID02,0.8709881641
1,ID02,0.8439981502
1,ID02,0.8790570384
1,ID02,1.1185543787
1,ID02,1.3867684052
1,ID02,0.8666525055
1,ID02,1.1079098251
1,ID02,1.5009588197
1,ID02,0.9042447672
1,ID02,0.7776598593
1,ID02,0.8763060962
1,ID02,0.8400428537
1,ID02,0.8442716909
1,ID02,0.9630238214
1,ID02,0.9258027443
1,ID02,0.8884827265
1,ID02,1.2907000836
1,ID02,0.9120779796
1,ID02,0.8305994567
1,ID02,0.8543954601
1,ID02,0.8220605887
1,ID02,0.966443552
1,ID02,1.1591949708
1,ID02,0.8596285151
1,ID02,1.5533314612
1,ID02,1.160650288
1,ID02,1.5423248592
1,ID02,0.8098698182
1,ID02,0.8891204885
1,ID02,1.1815275584
1,ID02,0.8462594523
1,ID02,0.9247808852
1,ID02,1.5042012763
1,ID02,0.9218476376
1,ID02,0.9638735308
1,ID02,0.9569762521
1,ID02,0.8007374883
1,ID02,0.9395256156
1,ID02,0.9538923337
1,ID02,1.2736081699
1,ID02,0.9976532524
1,ID02,1.1912671822
1,ID02,1.3192709346
1,ID02,1.1820506755
1,ID02,0.9281245218
1,ID02,0.7981398661
1,ID02,1.0540542663
1,ID02,1.0546443655
1,ID02,1.4763235881
1,ID02,0.7892902614
1,ID02,1.0694491869
1,ID02,1.467578354
1,ID02,1.362116212
1,ID02,0.7946595792
1,ID02,1.052240953
1,ID02,0.866976416
1,ID02,0.8511286052
1,ID02,0.9492087617
1,ID02,0.8703898623
1,ID02,0.8606057696
1,ID02,0.738138541
1,ID02,1.4591947358
1,ID02,0.6783787692
1,ID02,0.8637582241
1,ID02,1.5482692905
1,ID02,1.1366698967
1,ID02,1.3809137239
1,ID02,1.0298252875
1,ID02,1.5191847073
1,ID02,0.7778816946
1,ID02,0.9555601094
1,ID02,0.8797980918
1,ID02,0.95238805
1,ID02,0.9957497346
1,ID02,1.2932620266
1,ID02,1.0728741266
1,ID02,1.0404761902
1,ID02,0.9537391972
1,ID02,0.8350496562
1,ID03,0.9287745504
1,ID03,0.8604524127
1,ID03,0.8480811
1,ID03,0.7791671277
1,ID03,0.8751196756
1,ID03,0.8100488023
1,ID03,0.9662706763
1,ID03,1.4326841998
1,ID03,0.9629789473
1,ID03,1.6226931703
1,ID03,0.8529005908
1,ID03,0.9087580918
1,ID03,0.5845979041
1,ID03,1.5937816516
1,ID03,0.9664561843
1,ID03,0.849604289
1,ID03,1.14654789
1,ID03,0.6562214494
1,ID03,0.9882478335
1,ID03,0.908355416
1,ID03,0.8804622856
1,ID03,0.8852908953
1,ID03,0.9519092156
1,ID03,0.9034018727
1,ID03,0.9213716017
1,ID03,1.5714180884
1,ID03,0.8763109633
1,ID03,0.7021393417
1,ID03,1.1065159626
1,ID03,1.2782313797
1,ID03,0.8065798277
1,ID03,1.0902735234
1,ID03,0.8843716091
1,ID03,0.8186301186
1,ID03,0.9188666085
1,ID03,0.8453197229
1,ID03,0.8982452061
1,ID03,0.8233576683
1,ID03,0.8087286308
1,ID03,0.9251802626
1,ID03,0.8123312808
1,ID03,0.8361042209
1,ID03,1.7370716397
1,ID03,1.6110237344
1,ID03,1.0327158029
1,ID03,1.3040064958
1,ID03,0.8597214392
1,ID03,0.6935544637
1,ID03,0.9383257639
1,ID03,0.9926811924
1,ID03,0.9507164882
1,ID03,0.6456896775
1,ID03,1.2784827085
1,ID03,1.4584347622
1,ID03,0.6816100747
1,ID03,1.1437803705
1,ID03,0.6655789092
1,ID03,1.1576814664
1,ID03,0.8959977162
1,ID03,1.5330082372
1,ID03,1.8742523671
1,ID03,0.8038620978
1,ID03,0.8971488708
1,ID03,0.906504484
1,ID03,1.8260739492
1,ID03,1.47156937
1,ID03,0.7921564783
1,ID03,0.9813099242
1,ID03,1.7561669174
1,ID03,0.9830172845
1,ID03,0.9659325588
1,ID03,1.9614826378
1,ID03,0.9145262565
1,ID03,0.9595497932
1,ID03,1.7749763081
1,ID03,1.5682344588
1,ID03,0.9626378323
1,ID03,1.0214963319
1,ID03,0.8379202879
1,ID03,0.8384030353
1,ID03,0.8569910099
1,ID03,0.9797006417
1,ID03,0.88342599
1,ID03,0.6299267104
1,ID03,1.1998870653
1,ID03,1.0003663778
1,ID03,0.5972091527
1,ID03,0.9885808533
1,ID03,1.0176788373
1,ID03,0.8330079788
1,ID03,1.0173775988
1,ID03,0.9025281368
1,ID03,0.5809835232
1,ID03,0.7242502634
1,ID03,0.8737089846
1,ID03,1.6012397785
1,ID03,1.0381116764
1,ID03,0.8100743216
1,ID03,0.8720775538
1,ID03,1.1295993757
1,ID04,0.555882203
1,ID04,0.5752775129
1,ID04,0.5888978613
1,ID04,0.553929847
1,ID04,0.5540915232
1,ID04,0.563056337
1,ID04,0.5493202358
1,ID04,0.540794471
