"Gen","ID","Fitness"
"246",1,"i 6",23090
"247",1,"i 7",14070
"248",1,"i 8",23510
"249",1,"i 9",14830
"250",1,"i 10",13230
"251",1,"i 1",15630
"252",1,"i 2",23960
"253",1,"i 3",21100
"254",1,"i 4",10510
"255",1,"i 5",13960
"256",1,"i 6",23090
"257",1,"i 7",14070
"258",1,"i 8",23510
"259",1,"i 9",14830
"260",1,"i 10",13230
"261",1,"i 1",15630
"262",1,"i 2",23960
"263",1,"i 3",21100
"264",1,"i 4",10510
"265",1,"i 5",13960
"266",1,"i 6",23090
"267",1,"i 7",14070
"268",1,"i 8",23510
"269",1,"i 9",14830
"270",1,"i 10",13230
"271",1,"i 1",15630
"272",1,"i 2",23960
"273",1,"i 3",21100
"274",1,"i 4",10510
"275",1,"i 5",14580
"276",1,"i 6",23090
"277",1,"i 7",14070
"278",1,"i 8",23510
"279",1,"i 9",14830
"280",1,"i 10",13230
"281",1,"i 1",15630
"282",1,"i 2",23960
"283",1,"i 3",21100
"284",1,"i 4",10510
"285",1,"i 5",13960
"286",1,"i 6",23090
"287",1,"i 7",14070
"288",1,"i 8",23510
"289",1,"i 9",14830
"290",1,"i 10",13230
"291",1,"i 1",15630
"292",1,"i 2",23960
"293",1,"i 3",21100
"294",1,"i 4",10510
"295",1,"i 5",16090
"296",1,"i 6",23090
"297",1,"i 7",14070
"298",1,"i 8",23320
"299",1,"i 9",14830
"300",1,"i 10",13230
"301",1,"i 1",15630
"302",1,"i 2",23960
"303",1,"i 3",21100
"304",1,"i 4",10510
"305",1,"i 5",13960
"306",1,"i 6",23090
"307",1,"i 7",14070
"308",1,"i 8",23510
"309",1,"i 9",14830
"310",1,"i 10",13230
"311",1,"i 1",15630
"312",1,"i 2",23960
"313",1,"i 3",21100
"314",1,"i 4",10510
"315",1,"i 5",13960
"316",1,"i 6",23090
"317",1,"i 7",14070
"318",1,"i 8",23320
"319",1,"i 9",14830
"320",1,"i 10",13230
"321",1,"i 1",15630
"322",1,"i 2",23960
"323",1,"i 3",21100
"324",1,"i 4",10510
"325",1,"i 5",13960
"326",1,"i 6",23090
"327",1,"i 7",14070
"328",1,"i 8",23510
"329",1,"i 9",14830
"330",1,"i 10",13230
"331",1,"i 1",15630
